Species	geneA	geneB	confidence	geneRegType
HS	WNT9B	FZD8	1	4
HS	WNT9B	FZD9	1	4
HS	WNT9B	LRP6	1	4
HS	WNT9B	LRP5	1	4
HS	WNT10A	FZD10	1	4
HS	WNT10A	FZD2	1	4
HS	WNT10A	FZD5	1	4
HS	WNT10A	FZD3	1	4
HS	WNT10A	FZD1	1	4
HS	WNT10A	FZD4	1	4
HS	WNT10A	FZD6	1	4
HS	WNT10A	FZD7	1	4
HS	WNT10A	FZD8	1	4
HS	WNT10A	FZD9	1	4
HS	WNT10A	LRP6	1	4
HS	WNT10A	LRP5	1	4
HS	WNT3A	FZD10	1	4
HS	WNT3A	FZD2	1	4
HS	WNT3A	FZD5	1	4
HS	WNT3A	FZD3	1	4
HS	WNT3A	FZD1	1	4
HS	WNT3A	FZD4	1	4
HS	WNT3A	FZD6	1	4
